comando_de_voz,ruta_http,valor_pwm,sentido_de_giro,pin_8,pin_7,respuesta_de_la_app
prende el LED,/led/on,,,,,LED encendido
apaga el LED,/led/off,,,,,LED apagado
prende la matriz,/matriz/on,,,,,Matriz encendida
apaga la matriz,/matriz/off,,,,,Matriz apagada
avanza velocidad baja,/motor/avanza/baja,110,avance,HIGH,LOW,Avanzando velocidad baja
avanza velocidad media,/motor/avanza/media,180,avance,HIGH,LOW,Avanzando velocidad media
avanza velocidad maxima,/motor/avanza/maxima,255,avance,HIGH,LOW,Avanzando velocidad maxima
retrocede velocidad baja,/motor/retrocede/baja,110,retroceso,LOW,HIGH,Retrocediendo velocidad baja
retrocede velocidad media,/motor/retrocede/media,180,retroceso,LOW,HIGH,Retrocediendo velocidad media
retrocede velocidad maxima,/motor/retrocede/maxima,255,retroceso,LOW,HIGH,Retrocediendo velocidad maxima
detener motor,/motor/detener,0,detenido,LOW,LOW,motor detenido
